medio,tw_followers,fb_followers,ig_followers
Ámbito,230000,151000,56400
Clarín,3100000,7355000,1000000
Crónica,773000,1600000,140000
El Cohete a la Luna,103600,43000,797000
El Destape,446000,748000,377000
El Territorio,33000,169000,437000
IP Noticias,31300,5800, 31600
Infobae,2800000,3600000,1600000
La Nación,3500000,4300000,1100000
La Voz del Interior,513000,1200000,357000
Perfil,813000,665000,101000
Página/12,377000,610000, 533000
TN,5100000,8337000,4100000
El Cronista Comercial,201000,274000,39400
